"* Required Fields","* Champs requis"
"Uncertain transactions","Transactions incertaines"
"Unknown address check result","Résultat de la vérification d'adresse inconnue"
"Unless you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Si vous ne cochez pas cette case, le paiement sera capturé au PSP et vous ne pourrez pas ajouter de captures supplémentaires."
"Update","Mettre à jour"
"Update Qty's","Ajuster la quantité"
"Update interval for payments","Interval de l'actualisation pour paiements via API"
"Use Base Currency","Utiliser devise de base"
"Use Default","Utilisez les paramètres standard"
"Use base currency","Utiliser la devise de base"
"User Identification","Identification de l'utilisateur"
"VISA","VISA"
"Validation","Valider"
"Version","Version"
"View","Afficher"
"Wait On Success Page","Attendre sur la page de la réussite"
"We cannot get the transaction instance.","Nous ne pouvons pas établir une transaction."
"We experienced a problem with your sellxed payment extension. For more information, please visit the configuration page of the plugin.","Il y a un problème avec votre module de paiement sellxed. Pour plus d'informations, veuillez visiter la page d'informations du plugin."
"When the store is not available (network outage, server failure or any other outage), when the feedback of Datatrans is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","Lorsque la boutique n'est pas disponible (panne de réseau, une panne de serveur ou de toute autre panne), après le retour de Datatrans envoyé,  le statut de la transaction ne sera pas mis à jour. Par conséquent, aucune confirmation de commande sera envoyé par e-mail et la commande n'aura pas le statut payé. En activant la mise à jour de la transaction, ces opérations peuvent être autorisées plus tard sur la liaison directe. Pour utiliser cette fonction, le service de mise à jour doit être activé et le nom d'utilisateur de l'API et le mot de passe de l'API doit être aussi configuré."
"When the store is not available (network outage, server failure or any other outage), when the feedback of Datatrans is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized.","Lorsque la boutique n'est pas disponible (panne de réseau, panne de serveur ou de toute autre panne), après que la réponse de Datatrans est envoyé, le statut de la transaction n'est pas mise à jour. Par conséquent, aucune confirmation de commande par e-mail est envoyé et la commande n'aura pas le statut payé. En activant la mise à jour de la transaction, ces opérations peuvent être autorisées."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Lorsque vous utilisez une commande externe, le client peut soit sélectionner une option d'authentification (en tant qu'invité, inscription ou login) ou il peut toujours être vérifié en tant qu'invité. Pour la deuxième option, guest checkout doit être activé chez Magento."
"Wheter the payment page shows the payment method selection as list (default) or as a grid. Possible values: &quot;list&quot; or &quot;grid&quot;","Détermine si les méthodes de paiement disponibles seront montrées dans une liste (par défaut) ou affichées comme une grille. Valeurs possibles: &quot;list&quot; or &quot;grid&quot;"
"Which account should be used for transactions done with the alias manager?","Quel compte doit être utilisé pour les transactions effectuées avec le gestionnaire d'alias?"
"Year","Année"
"Yes","Oui"
"Yes, sign also settlement requests.","Oui, la signature est aussi a appliquer aux décomptes"
"Yes, switch automatically to mobile view","Oui, changer automatiquement au mobile view"
"Yes, use images for the brand selection.","Oui, utiliser des images pour la sélection du type."
"You can allow the customers to manage/delete their aliases in the their account.","Vous pouvez permettre aux clients de gérer / supprimer leurs alias dans leur compte."
"You can decide on the order status new orders should have after they are processed successfully.","Spécifiez le statut de la commande pour les nouvelles commandes qui ont été traitées avec succès."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Spécifiez le statut de la commande pour les nouvelles commandes avec un statut d'autorisation incertain."
"You can sign also the settlement requests to increase the security. This value must correspond with the setting in the backoffice of Datatrans. Note: In case you use the mail and phone order (MoTo) or the recurring feature you have to set this option in both account identically.","Vous pouvez également signer les demandes de règlement pour accroître la sécurité. Cette valeur doit correspondre avec le réglage dans le backoffice de Datatrans. Remarque: Dans le cas où vous utilisez les commandes par e-mail et par téléphone (MoTo) ou les transactions récurrentes vous devez définir cette option dans tous les comptes identique."
"You can specify the order status for new orders that have an uncertain authorisation status.","Vous pouvez spécifier le statut de la commande pour les nouvelles commandes qui ont un statut d'autorisation incertain."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","Vous pouvez spécifier le statut de la commande pour les commandes qui sont capturés soit directement après la commande ou manuellement depuis le backend."
"You can specify the order status when an order is cancelled.","Vous pouvez spécifier le statut de la commande quand une commande est annulée."
"You can switch between the different environments, by selecting the corresponding operation mode. The test environment can be found at https://pilot.datatrans.biz/.","Vous pouvez changer entre le mode live et test, en sélectionnant le mode de fonctionnement correspondant. L'environment test peut être trouvé sous https://pilot.datatrans.biz/."
"You created the order.","Vous avez créé la commande."
"You have no stored aliases.","Vous n'avez pas d'alias."
"You have set the security level in the shop to level 2. But the callback does not contain the sign2. Have you activated the security level 2 in the back office of Datatrans?","Vous avez défini le niveau de sécurité dans la boutique au niveau 2. Mais le callback ne contient pas le sign2. Avez-vous activé le niveau de sécurité 2 dans le back-office de Datatrans?"
"You have to enter a card number.","Vous devez insérer le numéro de carte."
"You have to enter bank code of your bank.","Il faut insérer le code banquaire de votre banque."
"You have to enter commercial number of you company.","Il faut insérer le numéro de commerce de votre entreprise."
"You have to enter either the CVC code or the issue number of your card.","Vous devez insérer le code CVC ou le numéro de série de votre carte."
"You have to enter sales tax number of you company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"You have to enter sales tax number of your company.","Vous devez insérer le numéro de la taxe de vente de votre entreprise."
"You have to enter the BIC.","Vous devez saisir le code BIC."
"You have to enter the CVC code from your card.","Vous devez insérer le code CVC de votre carte."
"You have to enter the IBAN.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter the account holder name on the card.","Vous devez insérer le nom du titulaire de la carte."
"You have to enter the account holder name.","Veuillez insérer ici le nom du titulaire de la carte."
"You have to enter the card holder name on the card.","Vous devez insérer le titulaire de la carte."
"You have to enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"You have to enter the name of the account owner.","Vous devez insérer le titulaire de compte"
"You have to enter the name of your bank.","Vous devez insérer le nom de votre banque."
"You have to enter your IBAN Number.","Il faut insérer l'IBAN du compte banquaire"
"You have to enter your bank account number.","Veuillez insérer l'IBAN de votre compte banquaire."
"You have to enter your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"You have to submit a CSS file to Datatrans where the CSS class selector has to match with this value.","Vous devez soumettre un fichier CSS à Datatrans où le sélecteur de classe CSS doit correspondre à cette valeur."
"You may choose one of the cards you paid before on this site.","Vous pouvez choisir parmi les cartes utilisées précédemment:"
"You may choose one of your stored payment details.","Sélectionnez l'une des informations de paiement enregistrées pour le paiement"
"You will be redirect to the order confirmation page.","Vous allez être redirigé vers la page de confirmation de commande."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Votre navigateur ne permet pas l'exécution de JavaScript. Veuillez activer JavaScript dans votre navigateur et recharger cette page."
"Your checkout session expired.","Your checkout session expired."
"DatatransCw Aliases","DatatransCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Datatrans","Datatrans"
"Datatrans Aliases","Alias Datatrans"
"Datatrans Error","Erreur de Datatrans"
"Datatrans Live Merchant ID","Datatrans Live Merchant ID"
"Datatrans Live MoTo Merchant ID","Datatrans Live MoTo Merchant ID"
"Datatrans Live Recurring Merchant ID","Datatrans ID marchand récurrent productif"
"Datatrans Parameters","Datatrans Paramètres"
"Datatrans Refund Items","Datatrans _ remboursement articles"
"Datatrans Section","Section Datatrans"
"Datatrans Test Merchant ID","Datatrans Test Merchant ID"
"Datatrans Test MoTo Merchant ID","Datatrans Test MoTo Merchant ID"
"Datatrans Test Recurring Merchant ID","Datatrans test récurrent Merchant ID"
"Datatrans Transactions","Transactions de Datatrans"
"Datatrans can show a mobile device optimized payment page. Should the optimized payment page shown, in case the user has a tablet or a mobile device?","Datatrans peut afficher une page de paiement mobile optimisé. Voulez-vous que la page optimisée soit affichée si l'utilisateur travaille avec un appareil mobile?"
"Datatrans: Alias Management","Datatrans: Gestion des Alias"
"customweb ltd","customweb ltd"
"myOne","myOne"
"no","no"
"or","ou"
"yes","Oui"
