"* Required Fields","* campo obbligatorio"
"When the store is not available (network outage, server failure or any other outage), when the feedback of Datatrans is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set.","When the store is not available (network outage, server failure or any other outage), when the feedback of Datatrans is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized later over direct link. To use this feature the update service must be activated and the API username and the API password must be set."
"When the store is not available (network outage, server failure or any other outage), when the feedback of Datatrans is sent, then the transaction state is not updated. Hence no order confirmation e-mail is sent and the order is not in the paid state. By activating the transaction update, such transactions can be authorized.","Quando il negozio non é disponibile (rete, malfunzionamento del server o qualsiasi altra interruzione), quando viene inviato la valutazione di Datatrans, lo stato della transazione non viene aggiornato. Quindi nessuna e-mail  di conferma d'ordine viene inviata e l'ordine non é pagato. Attivando l'aggiornamento delle transazioni, tali operazioni possono essere autorizzate."
"When using an external checkout, the customer can either be asked to chose an option to authenticate (as guest, register or login) or he can always be checked out as guest. For the second option to work, guest checkout has to be enabled in magento.","Quando si utilizza un checkout esterno, può essere chiesto al cliente di scegliere l'opzione di autenticazione (come ospite, registrato o login) oppure può sempre fare il checkout come ospite. Affinché  la seconda opzione funzioni, il checkout come ospite deve essere abilitato in Magento."
"Wheter the payment page shows the payment method selection as list (default) or as a grid. Possible values: &quot;list&quot; or &quot;grid&quot;","La pagina del pagamento deve mostrare la selezione dei metodi di pagamento come una lista o come una griglia? Valori possibili: &quot;list&quot; or &quot;grid&quot;"
"Which account should be used for transactions done with the alias manager?","Quale conto deve essere utilizzato per le operazioni effettuate con il gestore alias?"
"Year","Anno"
"Yes","Si"
"Yes, sign also settlement requests.","Si, firma anche le richieste delle rate."
"Yes, switch automatically to mobile view","Si, passa automaticamente alla versione mobile"
"Yes, use images for the brand selection.","Si, utilizza le immagini per la selezione della marca."
"You can allow the customers to manage/delete their aliases in the their account.","Puoi permettere ai clienti di gestire/eliminare il loro alias nel loro account."
"You can decide on the order status new orders should have after they are processed successfully.","Definire lo stato dell'ordine per i nuovi ordini, che sono stati trattati con successo."
"You can decide on the order status new orders should have that have an uncertain authorization status.","Definire lo stato dell'ordine per i nuovi ordini che hanno uno status incerto."
"You can sign also the settlement requests to increase the security. This value must correspond with the setting in the backoffice of Datatrans. Note: In case you use the mail and phone order (MoTo) or the recurring feature you have to set this option in both account identically.","È inoltre possibile firmare le richieste di settlement per aumentare la sicurezza. Questo valore deve corrispondere a all'impostazione del backend di Datatrans. Notare: Se si effettua l'ordine via email o telefono (MoTo) o si utilizzano i pagamenti ricorrenti, é necessario impostare il livello di sicurezza uguale in entrambi gli account."
"You can specify the order status for new orders that have an uncertain authorisation status.","E' possibile specificare lo stato dell'ordine per i nuovi ordini che hanno uno stato di autorizzazione incerto."
"You can specify the order status for orders that are captured either directly after the order or manually in the backend.","È possibile specificare lo stato dell'ordine per gli ordini che vengono registrati subito dopo l'ordine o manualmente nel backend."
"You can specify the order status when an order is cancelled.","È possibile specificare lo stato dell'ordine quando un ordine viene annullato."
"You can switch between the different environments, by selecting the corresponding operation mode. The test environment can be found at https://pilot.datatrans.biz/.","È possibile passare dalla modalità live a quella test selezionando l'operation mode corrispondente. La modalità test può essere trovata https://pilot.datatrans.biz/."
"You created the order.","Hai creato questo ordine."
"You have no stored aliases.","Non hai nessun alias memorizzato."
"You have set the security level in the shop to level 2. But the callback does not contain the sign2. Have you activated the security level 2 in the back office of Datatrans?","È stato impostato il livello 2 di sicurezza nel negozio. Ma il callback non contiene il sign2. Avete attivato il livello di sicurezza 2 nel back office di Datatrans?"
"You have to enter a card number.","SI prega di inserire il numero della carta di credito."
"You have to enter bank code of your bank.","Si prega di inserire il codice delle tua banca"
"You have to enter commercial number of you company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"You have to enter either the CVC code or the issue number of your card.","Si prega di inserire il codice CVC o il numero di emissione della carta."
"You have to enter sales tax number of you company.","SI prega di inserire il numero di partita IVA."
"You have to enter sales tax number of your company.","È necessario inserire il numero di imposta sulle vendite della tua azienda."
"You have to enter the BIC.","Si prega di inserire il BIC della tua banca."
"You have to enter the CVC code from your card.","Si prega di inserire il CVC della carta di credito."
"You have to enter the IBAN.","Si prega di inserire il codice IBAN."
"You have to enter the account holder name on the card.","Si prega di inserire il nome del titolare del conto come scritto sulla carta."
"You have to enter the account holder name.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"You have to enter the card holder name on the card.","Si prega di inserire il nome del proprietario della carta."
"You have to enter the location of your bank.","Si prega di inserire la posizione della banca."
"You have to enter the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"You have to enter the name of your bank.","Si prega di indicare il nome della banca."
"You have to enter your IBAN Number.","Si prega di inserire il codice IBAN."
"You have to enter your bank account number.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"You have to enter your social security number.","Si prega di inserire il numero di sicurezza sociale."
"You have to submit a CSS file to Datatrans where the CSS class selector has to match with this value.","Invia un file CSS a Datatrans dove la selezione della classe CSS deve corrispondere a questo valore."
"You may choose one of the cards you paid before on this site.","È possibile scegliere una delle schede usate in precedenza:"
"You may choose one of your stored payment details.","È possibile scegliere uno dei tuoi dati di pagamento memorizzati."
"You will be redirect to the order confirmation page.","Verrai reindirizzato alla pagina di conferma dell'ordine."
"Your browser does not allow the execution of JavaScript. Please activate JavaScript in your browser and reload this page.","Il tuo browser non permette l'esecuzione di JavaScript. Si prega di attivare JavaScript nel tuo browser e ricarica questa pagina."
"Your checkout session expired.","Your checkout session expired."
"DatatransCw Aliases","DatatransCw Alias"
"____paymentMethodName____","____paymentMethodName____"
"Datatrans Aliases","Datatrans Aliases"
"Datatrans Error","Errore di Datatrans"
"Datatrans Live Merchant ID","Datatrans Live Merchant ID"
"Datatrans Live MoTo Merchant ID","Datatrans Live MoTo Merchant ID"
"Datatrans Live Recurring Merchant ID","Datatrans Live ID Merchant ricorrente"
"Datatrans Parameters","Impostazioni per Datatrans"
"Datatrans Refund Items","Articoli rimborsati Datatrans"
"Datatrans Section","Sezione Datatrans"
"Datatrans Test Merchant ID","Datatrans Test Merchant ID"
"Datatrans Test MoTo Merchant ID","Datatrans Test MoTo Merchant ID"
"Datatrans Test Recurring Merchant ID","Datatrans Test Ricorrenti ID Merchant"
"Datatrans Transactions","Datatrans transazioni"
"Datatrans can show a mobile device optimized payment page. Should the optimized payment page shown, in case the user has a tablet or a mobile device?","Datatrans può mostrare una pagina di pagamento mobile ottimizzata. Vuoi che la pagina ottimizzata venga mostrata se l'utente lavora con un dispositivo mobile?"
"Datatrans:","Datatrans:"
"Datatrans: Alias Management","Datatrans: Alias Management"
"customweb ltd","customweb SRL"
"myOne","myOne"
"no","no"
"or","oppure"
"yes","Si"
